Scenario,e0_2030,e0_2040,e0_2050,e65_2030,e65_2040,e65_2050
Full sample: 1933–2024,80.12134781586154,81.42910122572673,82.64909319415605,20.5458210633715,21.288068031330795,22.00369594011446
Recent period: 1970–2024,79.96282928874284,81.0321997175842,82.04324276359988,20.457640770625435,21.06003827374725,21.645563995983046
Modern period: 1980–2024,79.85858856767673,80.76828797402892,81.6359259621416,20.399867953463353,20.909737493785048,21.407833827471173
Pre-COVID modern: 1980–2019,79.96030819782364,81.02584427976005,82.03347569704162,20.456241512988615,21.056406315017924,21.639834654128123
