Age_num,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0.005709701387195377,0.005550018600682832,0.0053948016505738555,0.0052439256411597746,0.005097269169680749,0.004954714228638746,0.004816146110842486,0.004681453317108027,0.0045505274665406685,0.004423263209325983,0.004299558141959838,0.0041793127248491435,0.0040624302022170735,0.003948816524248292,0.003838380271411525,0.003731032580898621,0.003626687075120846,0.003525259792204954,0.0034266691184330618,0.0033308357225719457,0.0032376824920389816,0.003147134470853306,0.0030591187993222967,0.002973564655414847,0.0028904031977742264,0.0028095675103247193
1,0.00036482063176312973,0.0003529161478079202,0.00034140011978393077,0.0003302598719623295,0.0003194831422367542,0.00030905806862637034,0.00029897317621935466,0.00028921736454242075,0.00027977989534249157,0.0002706503807670731,0.0002618187719303094,0.00025327534785214294,0.0002450107047584008,0.00023701574573002898,0.00022928167069008682,0.0002217999667174732,0.00021456239867672562,0.00020756100015358297,0.0002007880646863261,0.00019423613728325155,0.00018789800621693716,0.0001817666950862725,0.00017583545513751074,0.0001700977578358942,0.00016454728767967438,0.0001591779352486206
2,0.000252277658694031,0.00024486449644028164,0.00023766916946725,0.00023068527669967316,0.00022390660515745866,0.0002173271244285228,0.00021094098130404042,0.00020474249457133926,0.00019872614995980334,0.0001928865952352938,0.0001872186354387165,0.0001817172282645045,0.0001763774795749062,0.00017119463904608298,0.00016616409594214586,0.00016128137501337484,0.00015654213251496584,0.0001519421523427667,0.00014747734228256665,0.00014314373036959784,0.00013893746135501276,0.00013485479327619607,0.00013089209412785522,0.00012704583863093228,0.00012331260509645982,0.0001196890723815742
3,0.00019415184359878286,0.00018856163356678949,0.00018313238233705388,0.0001778594554260994,0.00017273835179103668,0.00016776469998741172,0.0001629342544376795,0.00015824289180712382,0.0001536866074841179,0.00014926151216173629,0.00014496382851778724,0.00014078988799043918,0.0001367361276466857,0.00013279908714097698,0.0001289754057614214,0.00012526181956103554,0.00012165515857159421,0.00011815234409770221,0.00011475038608877683,0.00011144638058670075,0.0001082375072469627,0.00010512102693117279,0.00010209427936889637,9.915468088681058e-05,9.629972220324532e-05,9.352696628622588e-05
4,0.00015557168710602577,0.0001510711206034209,0.00014670075194864554,0.00014245681462040244,0.00013833565105989296,0.00013433370951861572,0.00013044754099735968,0.0001266737962737472,0.0001230092230157682,0.00011945066297881932,0.00011599504928382865,0.00011263940377412216,0.00010938083444875574,0.00010621653297009715,0.00010314377224351165,0.00010015990406706714,9.726235684922976e-05,9.444863339258487e-05,9.171630874167472e-05,8.906302809309497e-05,8.64865047660505e-05,8.398451823162289e-05,8.155491219904816e-05,7.919559275735716e-05,7.690452657077808e-05,7.46797391263426e-05
5,0.0001368372599864766,0.00013289618802765112,0.00012906862351691546,0.00012535129730797945,0.00012174103440976227,0.00011823475127461245,0.00011482945316463031,0.00011152223159384532,0.00010831026184405964,0.00010519080055223857,0.00010216118336738845,9.921882267491762e-05,9.63612053865384e-05,9.358589079382426e-05,9.089050848358437e-05,8.827275631328042e-05,8.573039844475188e-05,8.326126343457322e-05,8.086324237941026e-05,7.853428711479389e-05,7.62724084657691e-05,7.407567454792952e-05,7.194220911738259e-05,6.987018996823784e-05,6.78578473762505e-05,6.590346258728867e-05
6,0.0001225265631712559,0.00011898019538235301,0.00011553647247443475,0.00011219242352845956,0.00010894516361467119,0.00010579189130375353,0.00010272988625002195,9.975650684456579e-05,9.68691879363174e-05,9.406543861908258e-05,9.134284008262095e-05,8.869904352592534e-05,8.613176813089792e-05,8.363879909467568e-05,8.121798571890753e-05,7.886723955433481e-05,7.658453259907426e-05,7.436789554905003e-05,7.221541609906316e-05,7.012523729303576e-05,6.809555592200443e-05,6.612462096848175e-05,6.421073209584381e-05,6.235223818144016e-05,6.054753589216111e-05,5.879506830123325e-05
7,0.00011430069306777639,0.00011104659103328597,0.00010788513218202276,0.00010481367899392515,0.00010182966903823476,9.893061283572932e-05,9.611409178181729e-05,9.33777561287609e-05,9.071932302534506e-05,8.813657461235584e-05,8.562735617228025e-05,8.318957433168347e-05,8.082119531476357e-05,7.85202432466272e-05,7.628479850487029e-05,7.411299611808867e-05,7.200302420998269e-05,6.99531224877575e-05,6.796158077355819e-05,6.602673757771435e-05,6.414697871260405e-05,6.232073594598039e-05,6.054648569263763e-05,5.8822747743325036e-05,5.714808402984809e-05,5.5521097425326926e-05
8,0.00011290813373582181,0.00010980598040655242,0.000106789058804705,0.00010385502718679103,0.00010100160814877292,9.82265868583371e-05,9.552780933573348e-05,9.290318078185066e-05,9.035066395222638e-05,8.786827757573298e-05,8.545409481670783e-05,8.310624177933833e-05,8.082289605313891e-05,7.86022852983896e-05,7.644268587044137e-05,7.434242148181775e-05,7.229986190107603e-05,7.0313421687416e-05,6.838155896005663e-05,6.650277420142341e-05,6.467560909321876e-05,6.289864538447047e-05,6.117050379068141e-05,5.9489842923224736e-05,5.785535824815438e-05,5.626578107362134e-05
9,0.00010930983834603516,0.00010637031146588557,0.00010350983344730091,0.00010072627853237238,9.801757812842468e-05,9.53817192707474e-05,9.281674312666337e-05,9.032074353982779e-05,8.789186561367112e-05,8.552830433293801e-05,8.322830322229319e-05,8.09901530410011e-05,7.881219051270776e-05,7.669279708938029e-05,7.463039774848628e-05,7.26234598225196e-05,7.067049186000222e-05,6.877004251711451e-05,6.692069947913332e-05,6.512108841087239e-05,6.336987193534915e-05,6.166574863991512e-05,6.000745210911474e-05,5.839374998355084e-05,5.682344304406016e-05,5.529536432051557e-05
10,0.00010956910801741849,0.0001067176040740981,0.00010394030968569588,0.00010123529357028142,9.860067470697022e-05,9.603462102789584e-05,9.353534814422146e-05,9.110111810530658e-05,8.873023819016772e-05,8.642105973038857e-05,8.417197696366595e-05,8.198142591719023e-05,7.984788332008569e-05,7.776986554415551e-05,7.574592757219158e-05,7.377466199313596e-05,7.18546980233907e-05,6.998470055360002e-05,6.816336922023757e-05,6.638943750135724e-05,6.466167183587562e-05,6.297887076577484e-05,6.133986410063048e-05,5.974351210388071e-05,5.818870470027438e-05,5.667436070394312e-05
11,0.00011850289915754415,0.00011553062614472225,0.0001126329032646446,0.00010980786066138968,0.00010705367537849925,0.00010436857018265198,0.0001017508124168416,9.919871288232123e-05,9.671062474858868e-05,9.428494249071223e-05,9.19201008533104e-05,8.961457384051607e-05,8.736687373127578e-05,8.517555011934591e-05,8.303918897736726e-05,8.095641174441604e-05,7.892587443643908e-05,7.694626677900189e-05,7.501631136178827e-05,7.31347628143079e-05,7.130040700227746e-05,6.951206024415867e-05,6.776856854734637e-05,6.606880686351566e-05,6.441167836264498e-05,6.279611372524892e-05
12,0.00013454924133820092,0.0001312938416864404,0.0001281172059636867,0.00012501742848794182,0.00012199264968491121,0.00011904105497243417,0.00011616087367190652,0.00011335037794603907,0.00011060788176231892,0.00010793173988154867,0.00010532034687085807,0.00010277213614059553,0.00010028557900452203,9.785918376274349e-05,9.549149480683144e-05,9.318109174659498e-05,9.092658855798126e-05,8.872663275159067e-05,8.657990456131135e-05,8.448511615258378e-05,8.244101084982143e-05,8.044636238252385e-05,7.849997414963e-05,7.660067850167037e-05,7.474733604028736e-05,7.293883493470358e-05
13,0.0001660745463735505,0.00016229493648462731,0.00015860134490028086,0.00015499181397172256,0.0001514644306033402,0.00014801732523873583,0.00014464867086983594,0.0001413566820685569,0.00013813961404050406,0.00013499576170021145,0.00013192345876742356,0.00012892107688394842,0.00012598702475060574,0.00012311974728382088,0.0001203177247914096,0.00011757947216712439,0.00011490353810352823,0.00011228850432278532,0.00010973298482495585,0.00010723562515339865,0.00010479510167689301,0.00010241012088809823,0.00010007941871797856,9.780175986583054e-05,9.557593714455978e-05,9.340077084085559e-05
14,0.00021708518556197217,0.00021253633688593566,0.00020808280574261754,0.00020372259482837193,0.00019945374869147507,0.0001952743528551492,0.00019118253295896632,0.0001871764539182414,0.00018325431910104018,0.00017941436952243183,0.00017565488305562704,0.0001719741736596428,0.00016837059062315402,0.00016484251782418802,0.00016138837300533294,0.00015800660706413093,0.00015469570335834346,0.00015145417702577273,0.00014828057431833598,0.00014517347195009382,0.00014213147645893975,0.0001391532235816664,0.00013623737764212405,0.00013338263095220244,0.0001305877032253632,0.0001278513410024615
15,0.00029216930614216614,0.0002865556725813287,0.0002810498973105068,0.00027564990798019585,0.0002703536720582531,0.0002651591960648603,0.00026006452482218724,0.0002550677407184711,0.0002501669629862362,0.0002453603469943809,0.0002406460835538673,0.0002360223982367497,0.0002314875507082885,0.00022703983407189522,0.00022267757422666468,0.00021839912923725052,0.00021420288871584807,0.00021008727321605153,0.0002060507336383572,0.00020209175064708938,0.0001982088340985291,0.00019440052248003025,0.00019066538235991399,0.00018700200784792947,0.00018340902006608412,0.00017988506662964
16,0.000426866062967556,0.0004199140006467136,0.00041307516159355586,0.00040634770182168664,0.0003997298073763975,0.0003932196938455632,0.0003868156058785029,0.00038051581671267703,0.00037431862770809265,0.0003682223678892917,0.00036222539349479863,0.0003563260875339055,0.0003505228593506757,0.00034481414419504857,0.0003391984028009289,0.0003336741209711466,0.00032823980916917977,0.00032289400211752155,0.0003176352584025923,0.00031246216008608523,0.00030737331232263916,0.00030236734298374335,0.0002974429022877626,0.0002925986624359899,0.00028783331725462625,0.00028314558184259125
17,0.0005411219077439967,0.0005331960577703494,0.0005253862982689345,0.0005176909288545819,0.0005101082740477828,0.000502636682909892,0.0004952745286836765,0.0004880202084391289,0.0004808721427244687,0.0004738287752222545,0.00046688857241053406,0.00046005002322895716,0.00045331163874977895,0.00044667195185368213,0.0004401295169103474,0.00043368290946370266,0.0004273307259217823,0.0004210715832511292,0.00041490411867567303,0.00040882698938001844,0.00040283887221708017,0.00039693846341999964,0.00039112447831828165,0.00038539565105808843,0.0003797507343266308,0.00037418849908059664
18,0.0006984628672175134,0.0006895400438519031,0.0006807312090468167,0.000672034906604884,0.0006634496989315713,0.0006549741667975343,0.0006466069091040023,0.0006383465426511616,0.0006301917019094983,0.0006221410387940594,0.0006141932224416006,0.0006063469389905792,0.0005986008913639607,0.0005909537990547942,0.0005834043979145326,0.0005759514399440544,0.0005685936930873568,0.0005613299410278811,0.0005541589829874441,0.000547079633527735,0.0005400907223543499,0.0005331910941233306,0.0005263796082501705,0.0005196551387212661,0.0005130165739077732,0.0005064628163818426
19,0.0007457977941923537,0.0007362443377546938,0.0007268132583616121,0.0007175029883981688,0.0007083119803301231,0.0006992387064467041,0.000690281658606682,0.000681439347987681,0.0006727103048387164,0.0006640930782358922,0.000655586235841234,0.0006471883636646063,0.0006388980658286811,0.0006307139643369231,0.0006226346988445361,0.0006146589264323525,0.0006067853213836149,0.0005990125749636185,0.0005913393952021758,0.0005837645066788677,0.0005762866503110461,0.0005689045831445514,0.0005616170781471113,0.0005544229240043861,0.0005473209249186261,0.0005403099004099088
20,0.0007668492584497365,0.0007568681339232873,0.0007470169213002725,0.0007372939296787692,0.0007276974901652253,0.0007182259555880032,0.0007088777002146536,0.0006996511194728674,0.0006905446296750604,0.000681556667746543,0.0006726856909572293,0.0006639301766568333,0.0006552886220135179,0.0006467595437559414,0.0006383414779186636,0.0006300329795908641,0.0006218326226683329,0.0006137389996086869,0.000605750721189775,0.000597866416271225,0.000590084731559097,0.0005824043313735972,0.0005748238974198173,0.0005673421285614567,0.0005599577405974905,0.0005526694660417428
21,0.0008354162825664369,0.0008250164099094256,0.0008147460024705797,0.0008046034485722131,0.0007945871565999798,0.0007846955547531132,0.0007749270907977722,0.0007652802318234563,0.0007557534640024578,0.0007463452923523012,0.0007370542405011462,0.0007278788504561089,0.0007188176823744666,0.0007098693143377105,0.0007010323421284155,0.0006923053790098793,0.0006836870555085125,0.0006751760191989345,0.0006667709344917439,0.000658470482423934,0.0006502733604519126,0.0006421782822471028,0.0006341839774940864,0.0006262891916912601,0.0006184926859539737,0.0006107932368201185
22,0.0008442799958336679,0.0008336287769769564,0.0008231119311525257,0.000812727763144827,0.0008024745991247162,0.0007923507863796454,0.0007823546930472633,0.0007724847078523715,0.0007627392398472057,0.0007531167181549894,0.0007436155917167202,0.0007342343290411585,0.0007249714179579628,0.0007158253653739437,0.0007067946970323887,0.0006978779572754299,0.0006890737088094041,0.0006803805324731726,0.0006717970270093699,0.000663321808838532,0.0006549535118360755,0.000646690787112094,0.000638532302793929,0.0006304767438114821,0.0006225228116852424,0.0006146692243169812
23,0.0008530613997702766,0.0008423761165649263,0.0008318246751641745,0.00082140539909129,0.0008111166328687681,0.000800956741755295,0.0007909241114860147,0.0007810171480160417,0.0007712342772671909,0.0007615739448778784,0.0007520346159561532,0.0007426147748358278,0.0007333129248356577,0.0007241275880215399,0.0007150573049716909,0.0007061006345447619,0.000697256153650866,0.0006885224570254658,0.000679898157006098,0.0006713818833118929,0.000662972282825854,0.0006546680193798706,0.0006464677735424156,0.0006383702424089085,0.0006303741393947014,0.000622478194030657
24,0.0008563894146034998,0.0008457779973123362,0.0008352980648048559,0.0008249479878690627,0.0008147261574803285,0.000804630984551256,0.0007946608996846352,0.0007848143529294661,0.0007750898135400059,0.0007654857697377934,0.0007560007284766335,0.0007466332152104829,0.0007373817736642217,0.0007282449656072567,0.0007192213706299349,0.0007103095859227291,0.0007015082260581522,0.0006928159227753834,0.0006842313247675531,0.0006757530974716736,0.0006673799228611633,0.0006591104992409481,0.0006509435410451015,0.0006428777786369862,0.0006349119581118786,0.0006270448411020383
25,0.0008764130006452857,0.0008657649632071346,0.0008552462948007072,0.0008448554236484391,0.0008345907970691772,0.0008244508812461738,0.0008144341609978858,0.0008045391395515704,0.0007947643383196222,0.0007851082966786328,0.0007755695717511356,0.0007661467381899989,0.0007568383879654382,0.0007476431301546197,0.0007385595907338192,0.0007295864123731047,0.0007207222542335108,0.0007119657917666868,0.0007033157165169662,0.0006947707359258536,0.0006863295731388762,0.0006779909668147883,0.0006697536709370951,0.0006616164546278585,0.0006535781019637752,0.00064563741179448
