Scenario,Start Year,End Year,Drift,Sigma
Full sample: 1933–2024,1933,2024,-1.3320070840470584,2.3463997685015343
Recent period: 1970–2024,1970,2024,-1.0731566989330672,2.3155099743579894
Modern period: 1980–2024,1980,2024,-0.9040871842708519,2.461396621441192
Pre-COVID modern: 1980–2019,1980,2019,-1.0690570026064168,1.3839885160304954
