,e0_forecast,e65_forecast
2025,79.43231615856855,20.165393994891833
2026,79.57207303837089,20.241952525799945
2027,79.71084596693213,20.318277134333645
2028,79.8486437166006,20.394365159010867
2029,79.98547486798184,20.4702139888468
2030,80.12134781586154,20.5458210633715
2031,80.25627077498113,20.621183872630162
2032,80.39025178566719,20.696299957166122
2033,80.52329871931731,20.771166907987173
2034,80.65541928374452,20.845782366515238
2035,80.78662102838221,20.920144024520052
2036,80.91691134935317,20.9942496240369
2037,81.0462974944022,21.06809695726888
2038,81.17478656769845,21.141683866474086
2039,81.30238553450575,21.215008243837893
2040,81.42910122572673,21.288068031330795
2041,81.55494034232022,21.36086122055208
2042,81.67990945959716,21.433385852559873
2043,81.80401503139412,21.505640017687483
2044,81.92726339412937,21.577621855346848
2045,82.0496607707427,21.64932955381914
2046,82.17121327452115,21.720761350032973
2047,82.29192691281364,21.79191552933052
2048,82.41180759063617,21.86279042522199
2049,82.53086111417018,21.93338441912857
2050,82.64909319415605,22.00369594011446
